invoice_id,contract_id,customer_id,customer_name,invoice_date,billing_period,currency,quantity,unit_price,discount,tax,total_amount,reference_number
INV-1066,CTR-1010,CUST-210,Titan Heavy Industries Inc.,2025-03-15,2025-03,USD,1,32000.0,0.0,0.0,32000.0,PO-1010-M3
INV-1067,CTR-1010,CUST-210,Titan Heavy Industries Inc.,2025-04-15,2025-04,USD,1,32000.0,0.0,0.0,32000.0,PO-1010-M4
INV-1068,CTR-1010,CUST-210,Titan Heavy Industries Inc.,2025-05-15,2025-05,USD,1,32000.0,0.0,0.0,32000.0,PO-1010-M5
INV-1069,CTR-1010,CUST-210,Titan Heavy Industries Inc.,2025-06-15,2025-06,USD,1,32000.0,0.0,0.0,32000.0,PO-1010-M6
INV-1070,CTR-1010,CUST-210,Titan Heavy Industries Inc.,2025-07-15,2025-07,USD,1,32000.0,0.0,0.0,32000.0,PO-1010-M7
INV-1071,CTR-1011,CUST-211,Kensington Financial Software Ltd,2025-01-15,2025-01,GBP,1,9500.0,475.0,0.0,9025.0,PO-1011-M1
INV-1072,CTR-1011,CUST-211,Kensington Financial Software Ltd,2025-02-15,2025-02,GBP,1,9500.0,475.0,0.0,9025.0,PO-1011-M2
INV-1073,CTR-1011,CUST-211,Kensington Financial Software Ltd,2025-03-15,2025-03,GBP,1,9500.0,475.0,0.0,9025.0,PO-1011-M3
INV-1074,CTR-1011,CUST-211,Kensington Financial Software Ltd,2025-04-15,2025-04,GBP,1,9500.0,475.0,0.0,9025.0,PO-1011-M4
INV-1075,CTR-1011,CUST-211,Kensington Financial Software Ltd,2025-05-15,2025-05,GBP,1,9500.0,475.0,0.0,9025.0,PO-1011-M5
INV-1076,CTR-1011,CUST-211,Kensington Financial Software Ltd,2025-06-15,2025-06,GBP,1,9500.0,475.0,0.0,9025.0,PO-1011-M6
INV-1077,CTR-1011,CUST-211,Kensington Financial Software Ltd,2025-07-15,2025-07,GBP,1,9500.0,475.0,0.0,9025.0,PO-1011-M7
INV-1078,CTR-1012,CUST-212,OmniHealth Diagnostics Inc.,2025-01-15,2025-01,USD,40,350.0,0.0,0.0,14000.0,PO-1012-M1
INV-1079,CTR-1012,CUST-212,OmniHealth Diagnostics Inc.,2025-02-15,2025-02,USD,40,350.0,0.0,0.0,14000.0,PO-1012-M2
INV-1080,CTR-1012,CUST-212,OmniHealth Diagnostics Inc.,2025-03-15,2025-03,USD,40,350.0,0.0,0.0,14000.0,PO-1012-M3
INV-1081,CTR-1012,CUST-212,OmniHealth Diagnostics Inc.,2025-04-15,2025-04,USD,40,350.0,0.0,0.0,14000.0,PO-1012-M4
INV-1082,CTR-1012,CUST-212,OmniHealth Diagnostics Inc.,2025-05-15,2025-05,USD,40,350.0,0.0,0.0,14000.0,PO-1012-M5
INV-1083,CTR-1012,CUST-212,OmniHealth Diagnostics Inc.,2025-06-15,2025-06,USD,40,350.0,0.0,0.0,14000.0,PO-1012-M6
INV-1084,CTR-1012,CUST-212,OmniHealth Diagnostics Inc.,2025-07-15,2025-07,USD,40,350.0,0.0,0.0,14000.0,PO-1012-M7
INV-1085,CTR-1013,CUST-213,Pioneer Autonomous Systems Corp,2025-01-15,2025-01,USD,1,22000.0,2640.0,0.0,19360.0,PO-1013-M1
INV-1086,CTR-1013,CUST-213,Pioneer Autonomous Systems Corp,2025-02-15,2025-02,USD,1,22000.0,2640.0,0.0,19360.0,PO-1013-M2
INV-1087,CTR-1013,CUST-213,Pioneer Autonomous Systems Corp,2025-03-15,2025-03,USD,1,22000.0,2640.0,0.0,19360.0,PO-1013-M3
INV-1088,CTR-1013,CUST-213,Pioneer Autonomous Systems Corp,2025-04-15,2025-04,USD,1,22000.0,2640.0,0.0,19360.0,PO-1013-M4
INV-1089,CTR-1013,CUST-213,Pioneer Autonomous Systems Corp,2025-05-15,2025-05,USD,1,22000.0,2640.0,0.0,19360.0,PO-1013-M5
INV-1090,CTR-1013,CUST-213,Pioneer Autonomous Systems Corp,2025-06-15,2025-06,USD,1,22000.0,2640.0,0.0,19360.0,PO-1013-M6
INV-1091,CTR-1013,CUST-213,Pioneer Autonomous Systems Corp,2025-07-15,2025-07,USD,1,22000.0,2640.0,0.0,19360.0,PO-1013-M7
INV-1092,CTR-1014,CUST-214,Silverline Telecom Solutions,2025-01-15,2025-01,USD,500,16.0,0.0,0.0,8000.0,PO-1014-M1
INV-1093,CTR-1014,CUST-214,Silverline Telecom Solutions,2025-02-15,2025-02,USD,500,16.0,0.0,0.0,8000.0,PO-1014-M2
INV-1094,CTR-1014,CUST-214,Silverline Telecom Solutions,2025-03-15,2025-03,USD,500,16.0,0.0,0.0,8000.0,PO-1014-M3
INV-1095,CTR-1014,CUST-214,Silverline Telecom Solutions,2025-04-15,2025-04,USD,500,16.0,0.0,0.0,8000.0,PO-1014-M4
INV-1096,CTR-1014,CUST-214,Silverline Telecom Solutions,2025-05-15,2025-05,USD,500,16.0,0.0,0.0,8000.0,PO-1014-M5
INV-1097,CTR-1014,CUST-214,Silverline Telecom Solutions,2025-06-15,2025-06,USD,500,16.0,0.0,0.0,8000.0,PO-1014-M6
INV-1098,CTR-1014,CUST-214,Silverline Telecom Solutions,2025-07-15,2025-07,USD,500,16.0,0.0,0.0,8000.0,PO-1014-M7
INV-1099,CTR-1015,CUST-215,Crestview Real Estate Asset Mgmt,2025-01-15,2025-01,USD,1,11500.0,690.0,0.0,10810.0,PO-1015-M1
INV-1100,CTR-1015,CUST-215,Crestview Real Estate Asset Mgmt,2025-02-15,2025-02,USD,1,11500.0,690.0,0.0,10810.0,PO-1015-M2
INV-1101,CTR-1015,CUST-215,Crestview Real Estate Asset Mgmt,2025-03-15,2025-03,USD,1,11500.0,690.0,0.0,10810.0,PO-1015-M3
INV-1102,CTR-1015,CUST-215,Crestview Real Estate Asset Mgmt,2025-04-15,2025-04,USD,1,11500.0,690.0,0.0,10810.0,PO-1015-M4
INV-1103,CTR-1015,CUST-215,Crestview Real Estate Asset Mgmt,2025-05-15,2025-05,USD,1,11500.0,690.0,0.0,10810.0,PO-1015-M5
INV-1104,CTR-1015,CUST-215,Crestview Real Estate Asset Mgmt,2025-06-15,2025-06,USD,1,11500.0,690.0,0.0,10810.0,PO-1015-M6
INV-1105,CTR-1015,CUST-215,Crestview Real Estate Asset Mgmt,2025-07-15,2025-07,USD,1,11500.0,690.0,0.0,10810.0,PO-1015-M7
INV-1106,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-08-15,2025-08,USD,100,100.0,0.0,0.0,10000.0,PO-1001-M8
INV-1107,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-09-15,2025-09,USD,100,100.0,1000.0,0.0,9036.0,PO-1001-M9
INV-1108,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-10-15,2025-10,USD,100,100.0,1000.0,0.0,10080.0,PO-1001-M10
INV-1109,CTR-1002,CUST-202,Meridian Logistics Corporation,2025-08-15,2025-08,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M8
INV-1110,CTR-1002,CUST-202,Meridian Logistics Corp,2025-09-15,2025-09,USD,80,150.0,0.0,0.0,12000.0,PO-1002-M9
INV-1111,CTR-1002,CUST-202,Meridian Logistics Corp,2025-10-15,2025-10,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M10
INV-1112,CTR-1002,CUST-202,Meridian Logistics Corp,2025-10-15,2025-10,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M10
INV-1112,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-10-15,2025-10,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M8
INV-1113,CTR-1004,CUST-204,Vortex Media Global,2025-08-15,2025-08,USD,1,12500.0,0.0,0.0,12500.0,PO-1004-M8
INV-1114,CTR-1005,CUST-205,Horizon Financial Partners,2025-08-15,2025-08,USD,20,1200.0,0.0,0.0,24000.0,PO-1005-M8
INV-1115,,CUST-205,Horizon Financial Partners,2025-09-15,2025-09,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M9
INV-1116,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-10-15,2025-10,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M8
INV-1117,CTR-1009,CUST-209,Beacon Renewable Energy Group,2025-08-15,2025-08,USD,80,125.0,800.0,0.0,9236.8,PO-1009-M8
INV-1118,CTR-1009,CUST-209,Beacon Renewable Energy Group,2024-11-15,2024-11,USD,80,125.0,800.0,0.0,9200.0,PO-1009-M9
INV-1119,CTR-1010,CUST-210,Titan Heavy Industries Inc.,2025-08-15,2025-08,USD,1,32000.0,0.0,0.0,35840.0,PO-1010-M8
INV-1120,CTR-9999,CUST-999,Phantom Enterprises LLC,2025-08-15,2025-08,USD,1,5400.0,0.0,0.0,5400.0,PO-UNKNOWN-01
INV-1121,CTR-1006,CUST-206,,2025-08-15,2025-08,USD,250,40.0,0.0,0.0,-500.0,PO-1006-M8
